,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
476,0,2,1,34.0,1,0,21.0,2
99,0,3,1,33.0,0,0,8.05,2
850,0,3,1,4.0,4,2,31.275,2
523,1,1,0,44.0,0,1,57.9792,0
637,0,2,1,31.0,1,1,26.25,2
432,1,2,0,42.0,1,0,26.0,2
722,0,2,1,34.0,0,0,13.0,2
494,0,3,1,21.0,0,0,8.05,2
458,1,2,0,50.0,0,0,10.5,2
640,0,3,1,20.0,0,0,7.8542,2
462,0,1,1,47.0,0,0,38.5,2
310,1,1,0,24.0,0,0,83.1583,0
875,1,3,0,15.0,0,0,7.225,0
294,0,3,1,24.0,0,0,7.8958,2
51,0,2,1,27.0,0,0,15.0333,0
751,1,3,1,6.0,0,1,12.475,2
110,0,1,1,47.0,0,0,52.0,2
881,0,3,1,33.0,0,0,7.8958,2
303,0,3,1,24.0,0,0,8.6625,2
478,0,3,1,22.0,0,0,7.5208,2
461,0,3,1,34.0,0,0,8.05,2
498,0,1,0,25.0,1,2,151.55,2
3,1,1,0,35.0,1,0,53.1,2
237,0,3,1,20.0,0,0,7.225,0
864,0,2,1,24.0,0,0,13.0,2
210,0,3,1,24.0,0,0,7.05,2
346,1,2,0,40.0,0,0,13.0,2
308,0,2,1,30.0,1,0,24.0,0
702,0,3,0,18.0,0,1,14.4542,0
269,1,1,0,35.0,0,0,135.6333,2
767,0,3,0,30.5,0,0,7.75,1
231,1,1,0,21.0,0,0,26.55,2
349,1,2,0,31.0,0,0,21.0,2
705,0,2,1,39.0,0,0,26.0,2
712,1,1,1,48.0,1,0,52.0,2
141,1,1,0,33.0,0,0,151.55,2
345,1,2,0,24.0,0,0,13.0,2
91,0,3,1,20.0,0,0,7.8542,2
169,1,3,0,22.0,0,0,8.9625,2
518,1,2,0,36.0,1,0,26.0,2
321,0,3,1,27.0,0,0,7.8958,2
787,0,3,1,8.0,4,1,29.125,1
734,0,2,1,23.0,0,0,13.0,2
250,1,2,0,0.92,1,2,27.75,2
742,1,1,0,21.0,2,2,262.375,0
690,1,1,1,31.0,1,0,57.0,2
94,0,3,1,59.0,0,0,7.25,2
58,1,2,0,5.0,1,2,27.75,2
275,1,2,0,20.0,1,0,26.0,2
404,0,3,0,20.0,0,0,8.6625,2
35,0,1,1,42.0,1,0,52.0,2
204,0,2,1,25.0,0,0,10.5,2
540,1,1,0,36.0,0,2,71.0,2
213,0,2,1,30.0,0,0,13.0,2
446,1,2,0,13.0,0,1,19.5,2
123,1,2,0,32.5,0,0,13.0,2
74,1,3,1,32.0,0,0,56.4958,2
343,1,1,0,58.0,0,1,512.3292,0
772,0,2,0,57.0,0,0,10.5,2
5,0,3,1,14.0,0,0,9.225,2
412,1,1,0,33.0,1,0,90.0,1
313,0,3,1,28.0,0,0,7.8958,2
808,0,2,1,39.0,0,0,13.0,2
112,0,3,1,22.0,0,0,8.05,2
380,1,1,0,42.0,0,0,227.525,0
445,1,1,1,4.0,0,2,81.8583,2
174,0,3,1,40.0,1,5,31.3875,2
369,1,1,0,24.0,0,0,69.3,0
372,0,1,1,49.0,0,0,0.0,2
555,0,1,1,62.0,0,0,26.55,2
890,0,3,1,32.0,0,0,7.75,1
574,0,3,1,16.0,0,0,8.05,2
741,0,1,1,36.0,1,0,78.85,2
365,0,3,1,30.0,0,0,7.25,2
2,0,2,1,62.0,0,0,9.6875,1
289,1,3,0,22.0,0,0,7.75,1
399,0,3,1,31.0,0,0,7.7333,1
440,1,2,0,45.0,1,1,26.25,2
660,1,1,1,50.0,2,0,133.65,2
334,0,3,1,27.0,0,0,7.8958,2
519,0,3,1,32.0,0,0,7.8958,2
798,0,3,1,30.0,0,0,7.2292,0
207,1,3,1,26.0,0,0,18.7875,0
17,0,3,1,21.0,0,0,7.225,0
546,1,2,0,19.0,1,0,26.0,2
218,1,1,0,32.0,0,0,76.2917,0
176,1,2,0,20.0,0,0,36.75,2
553,1,3,1,22.0,0,0,7.225,0
46,0,1,1,45.0,0,0,29.7,0
405,0,2,1,20.0,0,0,13.8625,0
354,1,3,0,0.17,1,2,20.575,2
277,0,2,1,40.0,1,0,26.0,2
175,1,2,0,15.0,0,2,39.0,2
151,1,1,0,22.0,1,0,66.6,2
68,1,3,0,17.0,4,2,7.925,2
474,0,3,0,22.0,0,0,9.8375,2
435,1,1,0,14.0,1,2,120.0,2
44,1,3,0,19.0,0,0,7.8792,1
442,0,3,1,25.0,1,0,7.775,2
506,1,2,0,33.0,0,2,26.0,2
245,0,1,1,44.0,2,0,90.0,1
655,0,2,1,24.0,2,0,73.5,2
166,0,1,1,48.0,0,0,50.4958,0
309,1,3,0,45.0,1,0,14.1083,2
406,0,2,1,23.0,1,0,10.5,2
184,1,1,0,27.0,1,1,247.5208,0
92,0,1,1,46.0,1,0,61.175,2
292,0,2,1,36.0,0,0,12.875,0
582,0,2,1,54.0,0,0,26.0,2
122,1,1,0,35.0,1,0,57.75,0
321,0,3,1,25.0,0,0,7.2292,0
884,0,3,1,25.0,0,0,7.05,2
118,0,1,1,36.0,0,0,75.2417,0
279,1,3,0,35.0,1,1,20.25,2
419,0,3,0,10.0,0,2,24.15,2
818,0,3,1,43.0,0,0,6.45,2
89,0,3,1,24.0,0,0,8.05,2
0,0,3,1,22.0,1,0,7.25,2
706,1,2,0,45.0,0,0,13.5,2
215,0,1,1,42.0,0,0,42.5,2
363,0,3,1,27.0,0,0,8.6625,2
207,0,2,1,24.0,0,0,10.5,2
391,1,1,0,51.0,0,1,39.4,2
614,0,3,1,35.0,0,0,8.05,2
161,0,3,1,7.0,1,1,15.2458,0
305,1,1,1,0.92,1,2,151.55,2
699,0,3,1,42.0,0,0,7.65,2
206,1,3,0,35.0,0,0,7.75,1
858,1,3,0,24.0,0,3,19.2583,0
63,1,3,0,22.0,0,0,7.725,1
49,0,3,0,18.0,1,0,17.8,2
559,1,3,0,36.0,1,0,17.4,2
26,1,1,0,22.0,0,1,61.9792,0
13,0,2,1,63.0,1,0,26.0,2
654,0,3,0,18.0,0,0,6.75,1
134,0,3,1,43.0,0,0,7.8958,2
136,0,3,1,26.5,0,0,7.225,0
537,1,1,0,30.0,0,0,106.425,0
488,0,3,1,30.0,0,0,8.05,2
433,0,3,1,17.0,0,0,7.125,2
368,1,1,0,45.0,0,1,59.4,0
39,1,3,0,14.0,1,0,11.2417,0
662,0,1,1,47.0,0,0,25.5875,2
214,1,3,0,38.0,4,2,7.775,2
135,0,2,1,23.0,0,0,15.0458,0
402,1,1,0,22.0,0,1,59.4,0
208,1,1,0,33.0,0,0,27.7208,0
51,0,3,1,21.0,0,0,7.8,2
164,0,2,1,41.0,0,0,13.0,2
736,0,3,0,48.0,1,3,34.375,2
500,0,3,1,17.0,0,0,8.6625,2
18,0,3,0,31.0,1,0,18.0,2
141,1,3,0,22.0,0,0,7.75,2
682,0,3,1,20.0,0,0,9.225,2
411,1,1,0,37.0,1,0,90.0,1
318,0,3,1,27.0,0,0,7.8542,2
853,1,1,0,16.0,0,1,39.4,2
109,0,2,1,18.5,0,0,13.0,2
840,0,3,1,20.0,0,0,7.925,2
251,0,3,1,20.0,0,0,7.925,2
177,0,1,1,54.0,1,0,55.4417,0
55,0,3,1,10.0,4,1,29.125,1
874,1,2,0,28.0,1,0,24.0,0
81,1,3,1,29.0,0,0,9.5,2
283,1,3,1,19.0,0,0,8.05,2
749,0,3,1,31.0,0,0,7.75,1
150,1,1,0,23.0,0,1,83.1583,0
306,0,1,1,30.0,1,2,151.55,2
370,1,1,1,25.0,1,0,55.4417,0
275,1,1,0,63.0,1,0,77.9583,2
322,1,2,0,30.0,0,0,12.35,1
715,0,3,1,19.0,0,0,7.65,2
325,0,3,1,23.0,0,0,7.05,2
607,1,1,1,27.0,0,0,30.5,2
60,0,3,1,22.0,0,0,7.2292,0
452,0,1,1,30.0,0,0,27.75,0
